CustomerID,Recency,Frequency,Monetary,Cluster
AA-10315,185,5,5563.56,2
AA-10375,20,9,1056.39,0
AA-10480,260,4,1782.872,2
AA-10645,56,6,4455.895,0
AB-10015,416,3,886.156,1
AB-10060,55,7,7732.669999999999,3
AB-10105,42,9,14355.610999999999,3
AB-10150,42,5,966.71,2
AB-10165,26,8,1113.838,0
AB-10255,167,9,898.084,0
AB-10600,51,4,1515.862,2
AC-10420,233,3,891.56,2
AC-10450,12,7,5527.846,0
AC-10615,120,4,2499.756,2
AC-10660,283,5,657.316,2
AD-10180,30,7,6101.0,0
AF-10870,42,7,2052.908,0
AF-10885,416,4,861.565,1
AG-10270,279,5,2565.2580000000003,2
AG-10300,119,4,349.26,2
AG-10330,9,5,660.972,2
AG-10390,115,5,200.945,2
AG-10495,79,7,1401.071,0
AG-10525,845,4,1448.942,1
AG-10675,98,7,3489.0396000000005,0
AG-10765,78,3,137.296,2
AG-10900,97,10,4510.797,0
AH-10030,13,7,1744.7,0
AH-10075,35,10,3250.337,0
AH-10120,61,7,1735.5140000000001,0
AH-10195,56,4,1587.452,2
AH-10210,7,9,4805.344,0
AH-10465,231,4,2406.4316,2
AH-10585,22,4,738.504,2
AH-10690,411,12,7888.294,3
AI-10855,14,10,4375.786,0
AJ-10780,76,7,4867.344,0
AJ-10795,167,6,4391.491,0
AJ-10945,122,6,1829.896,2
AJ-10960,75,3,629.2479999999999,2
AM-10360,29,5,814.012,2
AM-10705,163,8,5653.862,0
AO-10810,502,1,161.28,1
AP-10720,42,6,545.932,2
AP-10915,99,10,3323.556,0
AR-10345,112,4,1055.694,2
AR-10405,126,5,2236.128,2
AR-10510,15,5,264.86400000000003,2
AR-10540,7,6,6608.448,3
AR-10570,535,1,88.15,1
AR-10825,59,8,4523.336,0
AS-10045,89,7,3035.032,0
AS-10090,29,9,3255.31,0
AS-10135,42,2,58.82,2
AS-10225,23,5,4249.0,2
AS-10240,193,5,503.968,2
AS-10285,20,6,3212.272,2
AS-10630,93,7,833.398,2
AT-10435,22,5,1166.0720000000001,2
AT-10735,14,10,3831.864,0
AW-10840,21,4,649.376,2
AW-10930,47,7,2851.444,0
AY-10555,15,4,497.014,2
AZ-10750,161,6,1622.0179999999998,2
BB-10990,106,5,735.52,2
BB-11545,29,9,6765.728,3
BC-11125,203,9,2933.676,0
BD-11320,34,11,5672.171,0
BD-11500,36,6,4408.297,0
BD-11560,279,2,320.54,2
BD-11605,98,6,2783.189,2
BD-11620,70,6,1538.11,2
BD-11635,10,3,582.646,2
BD-11725,94,6,1526.5,2
BD-11770,328,6,658.466,2
BE-11335,120,5,4204.676,2
BE-11410,99,5,2261.438,2
BE-11455,482,5,748.026,1
BF-10975,92,7,585.808,2
BF-11005,40,4,1333.88,2
BF-11020,75,7,2865.786,0
BF-11080,26,3,272.95,2
BF-11170,17,11,5907.972,0
BF-11215,66,4,1585.162,2
BF-11275,58,3,791.9899999999999,2
BG-11035,29,8,2798.948,0
BG-11695,37,6,1874.172,2
BG-11740,58,6,1006.356,2
BH-11710,24,8,6255.351,0
BK-11260,78,6,659.1379999999999,2
BM-11140,308,4,11609.9,3
BM-11575,101,6,808.162,2
BM-11650,34,11,7283.817,3
BM-11785,219,9,1335.896,0
BN-11470,25,4,265.296,2
BN-11515,10,5,1459.344,2
BO-11350,138,5,2586.08,2
BO-11425,76,2,130.83,2
BP-11050,84,4,961.18,2
BP-11095,18,11,2399.54,0
BP-11155,90,5,1692.1460000000002,2
BP-11185,2,9,3610.2929999999997,0
BP-11230,40,5,1181.49,2
BP-11290,13,7,2383.797,0
BS-11365,559,5,10501.653,3
BS-11380,29,5,3379.13,2
BS-11590,36,6,2454.928,2
BS-11665,583,3,3288.1099999999997,1
BS-11755,2,7,2492.3500000000004,0
BS-11800,266,2,949.4300000000001,2
BT-11305,337,5,2567.656,2
BT-11395,303,6,2182.1940000000004,2
BT-11440,561,4,603.876,1
BT-11485,660,2,415.19599999999997,1
BT-11530,92,5,2684.4919999999997,2
BT-11680,21,7,3196.752,0
BV-11245,335,5,1523.2730000000001,2
BW-11065,872,2,60.772,1
BW-11110,122,8,4750.358,0
BW-11200,204,5,1726.23,2
CA-11965,97,6,3789.7228,2
CA-12055,402,5,1679.7240000000002,1
CA-12265,57,8,2638.3272,0
CA-12310,14,4,1401.074,2
CA-12775,121,7,3041.566,0
CB-12025,48,9,5682.7570000000005,0
CB-12415,27,8,1856.26,0
CB-12535,198,7,2451.2055,0
CC-12100,458,5,1680.174,1
CC-12145,107,7,2471.65,0
CC-12220,21,10,3659.362,0
CC-12370,44,5,12129.072000000002,3
CC-12430,1,10,2870.05,0
CC-12475,40,9,1659.438,0
CC-12550,28,3,113.832,2
CC-12610,35,7,2540.631,0
CC-12670,30,7,2269.7015,0
CC-12685,799,4,2854.1150000000002,1
CD-11920,41,5,2033.968,2
CD-11980,55,2,614.982,2
CD-12280,43,2,1104.184,2
CD-12790,400,5,1860.732,1
CG-12040,50,5,847.652,2
CG-12520,339,3,1148.7800000000002,1
CH-12070,691,3,1537.236,1
CJ-11875,366,1,16.52,1
CJ-12010,190,8,11079.742,3
CK-12205,40,13,3154.855,0
CK-12325,121,5,2939.6059999999998,2
CK-12595,44,11,2372.75,0
CK-12760,83,9,1582.109,0
CL-11890,107,2,1098.43,2
CL-12565,285,12,10880.546,3
CL-12700,261,4,2335.586,2
CM-11815,132,6,1673.888,2
CM-11935,708,2,565.392,1
CM-12115,9,3,1643.97,2
CM-12160,27,6,2533.314,2
CM-12190,9,6,1475.144,2
CM-12235,386,5,2287.172,1
CM-12385,38,4,8954.019999999999,3
CM-12445,437,3,287.99,1
CM-12655,28,5,5890.508,2
CM-12715,1035,4,3984.4524,1
CP-12085,83,7,5164.102,0
CP-12340,161,7,5817.187,0
CR-12580,58,4,2148.852,2
CR-12625,471,3,475.9,1
CR-12730,79,4,1600.55,2
CR-12820,86,3,1380.8324,2
CS-11845,92,5,1267.194,2
CS-11860,163,6,537.632,2
CS-11950,26,11,3027.755,0
CS-12130,490,4,884.64,1
CS-12175,233,5,844.4580000000001,2
CS-12250,38,11,2696.796,0
CS-12355,7,11,3202.1620000000003,0
CS-12400,3,9,3651.8585000000003,0
CS-12460,28,2,550.644,2
CS-12490,425,4,963.2705000000001,1
CS-12505,59,6,5690.054999999999,0
CT-11995,97,8,3241.898,0
CV-12295,255,5,2830.6279999999997,2
CV-12805,6,9,2370.3136,0
CW-11905,23,6,1136.592,2
CY-12745,61,7,2004.0819999999999,0
Co-12640,550,5,1300.076,1
DA-13450,353,4,123.864,1
DB-12910,22,8,2171.599,0
DB-12970,242,4,2469.6672,2
DB-13060,17,6,3885.158,0
DB-13120,49,7,2931.718,0
DB-13210,10,10,2204.8289999999997,0
DB-13270,54,8,4621.657,0
DB-13360,265,5,1081.466,2
DB-13405,188,4,1702.548,2
DB-13555,108,7,3908.8028,0
DB-13615,34,7,1989.05,0
DB-13660,13,7,1155.202,0
DC-12850,38,9,3336.168,0
DC-13285,24,5,1174.618,2
DD-13570,42,6,269.542,2
DE-13255,719,5,1588.464,1
DF-13135,700,3,2390.534,1
DG-13300,33,5,3195.818,2
DH-13075,278,5,3487.1980000000003,2
DH-13675,776,4,1043.096,1
DJ-13420,638,4,2012.52,1
DJ-13510,49,8,2501.6879999999996,0
DJ-13630,13,3,3356.398,2
DK-12835,22,12,3253.534,0
DK-12895,46,5,3943.04,2
DK-12985,8,5,1687.04,2
DK-13090,43,7,2650.557,0
DK-13150,11,2,797.832,2
DK-13225,11,9,4125.844,0
DK-13375,20,8,3318.486,0
DL-12865,346,6,431.73,2
DL-12925,58,6,3272.2,2
DL-13315,23,8,1446.066,0
DL-13330,58,4,585.02,2
DL-13495,77,8,3539.322,0
DM-12955,115,7,1322.034,0
DM-13015,69,6,6247.372,3
DM-13345,23,8,4074.4719999999998,0
DM-13525,482,3,1376.792,1
DN-13690,218,7,2139.79,0
DO-13435,188,8,1197.3115,0
DO-13645,27,6,972.26,2
DP-13000,127,7,881.076,2
DP-13105,7,7,2164.89,0
DP-13165,812,2,1058.616,1
DP-13390,359,9,5480.723999999999,0
DR-12880,4,9,6247.206,0
DR-12940,51,8,8350.868,3
DS-13030,94,4,1762.213,2
DS-13180,24,9,2881.8128,0
DV-13045,20,5,1119.483,2
DV-13465,30,5,3254.487,2
DW-13195,70,6,1080.751,2
DW-13480,218,4,5256.848,2
DW-13540,99,5,344.08,2
DW-13585,243,7,1204.854,2
Dl-13600,120,5,755.602,2
Dp-13240,85,11,7198.7609999999995,3
EA-14035,153,12,2566.561,0
EB-13705,49,9,3448.2740000000003,0
EB-13750,36,9,3166.882,0
EB-13840,91,3,950.828,2
EB-13870,101,10,2767.219,0
EB-13930,162,5,944.6000000000001,2
EB-13975,1,4,1643.255,2
EB-14110,114,6,3071.126,2
EB-14170,83,6,1186.326,2
EC-14050,54,5,461.914,2
ED-13885,136,8,3484.92,0
EG-13900,23,5,1832.02,2
EH-13765,136,10,9635.480000000001,3
EH-13945,218,8,684.1709999999999,0
EH-13990,406,6,780.27,1
EH-14005,3,7,1219.53,0
EH-14125,153,10,3013.153,0
EH-14185,106,6,910.1859999999999,2
EJ-13720,303,4,2162.174,2
EJ-14155,58,5,2656.691,2
EK-13795,45,4,1303.478,2
EL-13735,78,2,124.28,2
EM-13810,133,5,2567.0099999999998,2
EM-13825,56,8,2324.358,0
EM-13960,152,5,933.704,2
EM-14065,48,4,228.99,2
EM-14095,114,4,1041.0420000000001,2
EM-14140,49,5,4438.332,2
EM-14200,159,3,366.822,2
EN-13780,288,4,2138.246,2
EP-13915,13,17,5478.0608,0
ER-13855,422,3,1245.788,1
ES-14020,41,5,3510.4579999999996,2
ES-14080,29,9,4648.516,0
FA-14230,98,7,2984.054,0
FC-14245,71,7,3414.678,0
FC-14335,185,7,3865.846,0
FG-14260,35,7,1383.144,0
FH-14275,38,10,4190.704,0
FH-14350,213,4,2271.284,2
FH-14365,6,7,6683.66,3
FM-14215,8,9,2374.27,0
FM-14290,37,9,3736.198,0
FM-14380,146,9,2523.266,0
FO-14305,39,10,2622.838,0
FP-14320,24,8,4046.746,0
FW-14395,363,3,79.75,1
GA-14515,150,5,3797.2320000000004,2
GA-14725,6,10,975.566,0
GB-14530,63,10,1356.48,0
GB-14575,14,5,4594.328,2
GD-14590,6,4,1888.07,2
GG-14650,44,9,2216.008,0
GH-14410,76,9,2807.707,0
GH-14425,51,4,3925.742,2
GH-14485,388,2,1361.2440000000001,1
GH-14665,3,2,146.94080000000002,2
GK-14620,113,9,6497.27,3
GM-14440,84,7,3582.8199999999997,0
GM-14455,17,6,3078.624,2
GM-14500,107,10,1255.682,0
GM-14680,153,6,3163.628,2
GM-14695,118,3,6049.966,2
GP-14740,765,2,221.8,1
GR-14560,1136,2,1284.38,1
GT-14635,57,3,9351.212,3
GT-14710,37,11,11820.119999999999,3
GT-14755,35,4,226.436,2
GW-14605,29,7,2189.019,0
GZ-14470,8,9,4355.150000000001,0
GZ-14545,158,4,2454.6220000000003,2
HA-14905,70,7,2163.3,0
HA-14920,21,8,2584.158,0
HD-14785,769,3,251.36,1
HE-14800,13,3,755.462,2
HF-14995,22,7,2533.1639999999998,0
HG-14845,55,5,785.628,2
HG-14965,24,11,3184.174,0
HG-15025,7,7,3690.284,0
HH-15010,73,2,188.108,2
HJ-14875,127,5,358.1,2
HK-14890,152,8,4877.784,0
HL-15040,44,6,12873.297999999999,3
HM-14860,3,10,8148.844800000001,3
HM-14980,248,4,736.276,2
HP-14815,31,7,1990.314,0
HR-14770,14,4,940.588,2
HR-14830,160,7,5248.787,0
HW-14935,118,7,4827.934,0
HZ-14950,36,5,886.52,2
IG-15085,72,4,744.574,2
IL-15100,143,7,5040.736,0
IM-15055,410,2,48.4,1
IM-15070,391,7,4930.474,0
JA-15970,93,8,6475.474,3
JB-15400,8,10,1791.605,0
JB-15925,737,3,900.552,1
JB-16000,44,7,644.1188,2
JB-16045,8,3,1841.651,2
JC-15340,115,3,67.335,2
JC-15385,176,1,859.648,2
JC-15775,159,9,2772.055,0
JC-16105,58,5,858.576,2
JD-15790,118,5,2152.352,2
JD-15895,395,11,6456.456,3
JD-16015,113,6,385.43,2
JD-16060,301,3,695.442,2
JD-16150,42,8,8828.0305,3
JE-15475,194,6,1388.682,2
JE-15610,49,7,7754.976,3
JE-15715,47,10,8672.163,3
JE-15745,52,12,6400.455,0
JE-16165,21,3,2697.248,2
JF-15190,66,6,2239.606,2
JF-15295,226,5,955.124,2
JF-15355,106,6,1911.844,2
JF-15415,3,5,2309.432,2
JF-15490,122,10,890.95,0
JF-15565,55,8,4198.332,0
JG-15115,758,3,2358.676,1
JG-15160,2,11,6366.392,0
JG-15310,3,6,2197.796,2
JG-15805,224,6,1507.018,2
JH-15430,6,4,276.385,2
JH-15820,175,6,528.91,2
JH-15910,42,7,959.477,0
JH-15985,30,6,7954.9980000000005,3
JH-16180,405,4,2256.3940000000002,1
JJ-15445,484,5,709.178,1
JJ-15760,753,2,195.0,1
JK-15205,62,4,4113.32,2
JK-15325,288,3,383.812,2
JK-15370,45,7,2136.458,0
JK-15625,62,7,3760.028,0
JK-15640,181,9,4752.442,0
JK-15730,85,9,4769.9,0
JK-16090,29,3,3747.668,2
JK-16120,118,10,2932.484,0
JL-15130,9,6,1214.956,2
JL-15175,7,5,1571.523,2
JL-15235,120,5,2203.7,2
JL-15505,50,6,3142.746,2
JL-15835,22,10,9179.422999999999,3
JL-15850,615,6,2725.256,1
JM-15250,38,6,3145.3740000000003,2
JM-15265,38,5,1804.146,2
JM-15535,103,7,1733.443,0
JM-15580,1,5,303.948,2
JM-15655,9,5,864.947,2
JM-15865,110,7,7625.076000000001,3
JM-16195,58,10,2833.9260000000004,0
JO-15145,58,9,3254.949,0
JO-15280,93,6,1911.552,2
JO-15550,216,4,1088.358,2
JP-15460,38,6,1653.5829999999999,2
JP-15520,9,7,3572.944,0
JP-16135,103,9,1707.71,0
JR-15670,594,2,1156.658,1
JR-15700,69,1,863.88,2
JR-16210,34,5,2201.686,2
JS-15595,120,4,1181.734,2
JS-15685,43,3,990.1959999999999,2
JS-15880,535,5,3868.02,1
JS-15940,464,5,469.169,1
JS-16030,29,6,2516.494,2
JW-15220,43,6,7721.714,3
JW-15955,6,6,1049.2379999999998,2
JW-16075,462,4,1428.731,1
KA-16525,37,7,1519.506,0
KB-16240,5,7,3152.6150000000002,0
KB-16315,297,9,1569.464,0
KB-16405,118,3,908.821,2
KB-16585,231,12,2742.758,0
KB-16600,2,7,974.214,0
KC-16255,408,5,2103.8340000000003,1
KC-16540,98,4,3908.262,2
KC-16675,58,4,1146.05,2
KD-16270,485,5,8282.358,3
KD-16345,42,6,1888.964,2
KD-16495,113,12,8181.256,3
KD-16615,290,4,907.158,2
KE-16420,27,7,1393.2332000000001,0
KF-16285,98,7,10604.266,3
KH-16330,41,8,3312.864,0
KH-16360,2,6,3100.612,2
KH-16510,23,6,5229.695000000001,0
KH-16630,59,9,3918.9660000000003,0
KH-16690,3,7,5867.859,0
KL-16555,17,8,4483.784000000001,0
KL-16645,48,10,14071.917,3
KM-16225,15,6,2134.248,2
KM-16375,57,7,5609.746,0
KM-16660,16,5,453.538,2
KM-16720,29,8,4909.472,0
KN-16390,20,8,2224.0860000000002,0
KN-16450,53,5,2171.962,2
KN-16705,99,6,1916.81,2
KS-16300,296,3,88.472,2
KT-16465,392,7,3057.1,0
KT-16480,101,10,4642.088400000001,0
KW-16435,97,5,4416.5199999999995,2
KW-16570,771,4,236.156,1
LA-16780,155,11,8631.522,3
LB-16735,49,3,50.188,2
LB-16795,153,8,4985.676,0
LC-16870,28,8,2526.182,0
LC-16885,17,12,7396.774,3
LC-16930,42,8,4481.162,0
LC-16960,437,4,3246.626,1
LC-17050,113,4,2064.504,2
LC-17140,14,8,2605.112,0
LD-16855,553,1,5.304,1
LD-17005,415,4,1961.934,1
LE-16810,22,6,1469.45,2
LF-17185,23,7,3930.5089999999996,0
LH-16750,152,3,287.426,2
LH-16900,22,9,2295.332,0
LH-17020,240,4,318.239,2
LH-17155,386,8,1660.305,0
LL-16840,250,5,2454.554,2
LM-17065,392,5,1346.774,1
LO-17170,3,5,644.35,2
LP-17080,41,4,756.606,2
LP-17095,10,6,3104.439,2
LR-16915,27,6,5142.892,0
LR-17035,133,5,1831.386,2
LS-16945,179,6,2845.27,2
LS-16975,21,9,2988.674,0
LS-17200,97,6,998.032,2
LS-17230,777,3,368.88000000000005,1
LS-17245,35,6,1008.1360000000001,2
LT-16765,963,2,255.524,1
LT-17110,35,8,2936.252,0
LW-16825,89,5,2238.061,2
LW-16990,34,6,3230.308,2
LW-17125,206,3,1259.04,2
LW-17215,22,7,5420.514,0
MA-17560,65,11,4280.621,0
MA-17995,187,6,2453.284,2
MB-17305,49,10,1427.326,0
MB-18085,45,7,1428.231,0
MC-17275,77,8,2723.036,0
MC-17425,400,5,4432.138,1
MC-17575,28,7,925.565,0
MC-17590,52,6,2362.507,2
MC-17605,113,8,2258.192,0
MC-17635,190,4,795.154,2
MC-17845,2,7,3805.714,0
MC-18100,42,10,2218.98,0
MC-18130,370,5,1581.9979999999998,1
MD-17350,118,6,2716.412,2
MD-17860,37,5,1204.91,2
ME-17320,43,10,10635.918,3
ME-17725,29,8,1908.4532,0
ME-18010,93,4,1256.944,2
MF-17665,422,5,937.039,1
MF-18250,8,5,1575.3600000000001,2
MG-17650,30,7,3785.276,0
MG-17680,93,4,2350.188,2
MG-17695,556,3,1342.282,1
MG-17875,117,5,1242.8329999999999,2
MG-17890,100,9,776.384,0
MG-18145,85,3,2890.5910000000003,2
MG-18205,265,1,12.32,2
MH-17290,295,5,1679.211,2
MH-17440,377,4,358.146,1
MH-17455,171,7,2146.694,0
MH-17620,156,4,1252.8,2
MH-17785,99,7,2203.7780000000002,0
MH-18025,50,5,2984.948,2
MH-18115,6,9,5503.093,0
MJ-17740,23,7,6282.226000000001,3
MK-17905,29,8,2302.368,0
MK-18160,241,4,1031.602,2
ML-17395,70,9,2722.843,0
ML-17410,55,5,2885.26,2
ML-17755,30,7,2071.9139999999998,0
ML-18040,80,2,681.242,2
ML-18265,101,2,162.232,2
MM-17260,169,4,1314.023,2
MM-17920,8,10,3640.2560000000003,0
MM-18055,62,8,2749.881,0
MM-18280,86,9,775.414,0
MN-17935,35,6,2469.042,2
MO-17500,73,4,922.487,2
MO-17800,105,7,1396.3229999999999,0
MO-17950,181,2,154.288,2
MP-17470,719,6,2945.822,1
MP-17965,73,9,3983.6420000000003,0
MP-18175,17,8,4757.332,0
MR-17545,126,4,639.178,2
MS-17365,274,10,6848.31,3
MS-17530,435,4,475.65599999999995,1
MS-17710,414,6,1613.402,1
MS-17770,122,9,3138.582,0
MS-17830,453,4,370.348,1
MS-17980,27,6,855.116,2
MT-17815,50,6,2890.139,2
MT-18070,204,4,1319.4498,2
MV-17485,28,9,1542.41,0
MV-18190,20,7,1734.574,0
MW-18220,18,7,5341.900000000001,0
MW-18235,45,2,5253.876,2
MY-17380,30,7,2242.612,0
MY-18295,72,10,3583.58,0
MZ-17335,31,4,424.038,2
MZ-17515,283,6,2564.906,2
NB-18580,1166,2,273.87199999999996,1
NB-18655,20,9,1972.599,0
NC-18340,225,5,2461.404,2
NC-18415,42,6,2218.9900000000002,2
NC-18535,7,7,8241.739,3
NC-18625,205,5,1821.742,2
ND-18370,28,9,4281.389,0
ND-18460,184,6,2893.455,2
NF-18385,80,6,8080.474,3
NF-18475,526,4,377.16200000000003,1
NF-18595,115,7,2031.472,0
NG-18355,49,5,1869.58,2
NG-18430,49,5,1395.9379999999999,2
NH-18610,190,6,2518.6659999999997,2
NK-18490,71,7,572.048,2
NL-18310,59,4,1418.0900000000001,2
NM-18445,161,7,6459.344,3
NM-18520,245,8,2123.3469999999998,0
NP-18325,26,6,5529.62,0
NP-18670,59,5,3896.642,2
NP-18685,407,5,1164.73,1
NP-18700,139,7,7903.1825,3
NR-18550,211,4,2184.337,2
NS-18505,7,4,2575.863,2
NS-18640,175,12,2857.753,0
NW-18400,173,7,7234.014,3
NZ-18565,86,9,2488.31,0
ON-18715,411,9,1567.52,0
OT-18730,66,5,3818.624,2
PA-19060,104,6,729.408,2
PB-18805,26,3,668.756,2
PB-19105,58,4,688.324,2
PB-19150,98,8,1456.95,0
PB-19210,688,2,132.738,1
PC-18745,3,4,1832.064,2
PC-19000,882,2,1061.488,1
PF-19120,835,4,8980.496,1
PF-19165,197,6,2770.0,2
PF-19225,115,5,2206.1279999999997,2
PG-18820,37,13,3086.907,0
PG-18895,58,9,1987.164,0
PH-18790,71,1,729.648,2
PJ-18835,40,8,1220.09,0
PJ-19015,135,6,1677.536,2
PK-18910,484,2,1441.152,1
PK-19075,10,12,8158.6539999999995,3
PL-18925,16,5,239.481,2
PM-18940,387,3,1405.402,1
PM-19135,52,4,4115.662,2
PN-18775,31,8,1467.152,0
PO-18850,68,10,7367.334199999999,3
PO-18865,1,7,2493.214,0
PO-19180,161,9,4893.043,0
PO-19195,87,5,1056.858,2
PP-18955,98,10,7075.92,3
PR-18880,37,5,1840.178,2
PS-18760,108,6,2181.479,2
PS-18970,70,8,1278.639,0
PS-19045,237,7,6843.634,3
PT-19090,72,3,151.788,2
PV-18985,90,5,2876.046,2
PW-19030,47,10,3454.916,0
PW-19240,465,7,3878.3150000000005,1
QJ-19255,245,7,1498.4080000000001,2
RA-19285,6,9,2606.082,0
RA-19885,56,6,3546.224,2
RA-19915,13,9,4781.367,0
RA-19945,62,5,1686.9225,2
RB-19330,69,2,1008.1959999999999,2
RB-19360,97,6,15117.339,3
RB-19435,42,7,1864.156,0
RB-19465,10,12,4556.566,0
RB-19570,26,4,476.802,2
RB-19645,649,5,221.084,1
RB-19705,55,4,2067.45,2
RB-19795,33,8,5633.316000000001,0
RC-19825,370,6,966.409,1
RC-19960,111,4,652.644,2
RD-19480,73,8,3743.03,0
RD-19585,181,9,2832.904,0
RD-19660,115,4,2745.892,2
RD-19720,22,10,1419.737,0
RD-19810,15,8,1137.616,0
RD-19900,115,9,3133.924,0
RD-19930,43,4,970.9420000000001,2
RE-19405,1098,1,48.36,1
RE-19450,303,4,666.52,2
RF-19345,391,8,3309.15,0
RF-19735,90,7,2341.2960000000003,0
RF-19840,7,7,909.302,0
RH-19495,33,5,3621.3759999999997,2
RH-19510,468,6,6962.139999999999,3
RH-19555,520,2,740.382,1
RH-19600,535,3,2085.7400000000002,1
RK-19300,810,2,1448.0,1
RL-19615,122,8,6234.91,3
RM-19375,542,5,816.294,1
RM-19675,7,5,5967.736,2
RM-19750,300,1,98.35,1
RO-19780,36,7,3815.478,0
RP-19270,497,4,954.6452,1
RP-19390,34,11,5142.14,0
RP-19855,29,7,2055.356,0
RR-19315,20,2,615.932,2
RR-19525,171,6,3302.2619999999997,2
RS-19420,77,5,3221.29,2
RS-19765,37,8,3831.93,0
RS-19870,20,2,22.328,2
RW-19540,121,7,7397.401,3
RW-19630,90,9,3273.6499999999996,0
RW-19690,80,5,3495.646,2
SA-20830,64,10,4708.525500000001,0
SB-20170,202,3,1323.432,2
SB-20185,189,6,6410.996,3
SB-20290,48,7,8057.891,3
SC-20020,781,5,3362.9636,1
SC-20050,41,9,4624.572,0
SC-20095,350,9,14142.333999999999,3
SC-20230,150,4,4371.9580000000005,2
SC-20260,188,8,3729.7929999999997,0
SC-20305,30,6,3642.472,2
SC-20380,31,9,5894.184,0
SC-20440,37,7,1874.998,0
SC-20575,93,4,799.798,2
SC-20680,127,6,1254.64,2
SC-20695,90,10,2576.408,0
SC-20725,188,11,5226.21,0
SC-20770,42,7,4492.657,0
SC-20800,31,4,279.25600000000003,2
SC-20845,415,1,14.112,1
SD-20485,201,9,5920.258,0
SE-20110,10,11,12209.438000000002,3
SF-20065,60,7,763.5459999999999,2
SF-20200,60,9,3422.7859999999996,0
SF-20965,49,9,3306.871,0
SG-20080,9,3,3406.5809999999997,2
SG-20470,184,8,1884.798,0
SG-20605,109,5,3111.036,2
SG-20890,227,3,41.072,2
SH-19975,30,12,1833.0595,0
SH-20395,24,10,2180.718,0
SH-20635,765,2,2096.392,1
SJ-20125,96,12,3777.88,0
SJ-20215,30,5,1339.072,2
SJ-20500,254,4,1190.376,2
SK-19990,9,3,883.409,2
SL-20155,71,6,3046.532,2
SM-20005,422,4,233.134,1
SM-20320,80,5,25043.05,3
SM-20905,607,1,1043.041,1
SM-20950,26,11,4464.862,0
SN-20560,112,6,1860.418,2
SN-20710,80,7,3127.9592,0
SO-20335,30,6,2602.5755,2
SP-20545,328,6,1306.086,2
SP-20620,48,9,5440.319,0
SP-20650,414,8,1598.516,0
SP-20860,80,10,4028.588,0
SP-20920,71,6,3990.689,0
SR-20425,9,5,3233.481,2
SR-20740,197,8,4345.8859999999995,0
SS-20140,16,8,1289.548,0
SS-20410,111,6,3056.8070000000002,2
SS-20515,492,3,613.4,1
SS-20590,433,6,418.49,1
SS-20875,121,5,883.2199999999999,2
ST-20530,126,7,433.34000000000003,2
SU-20665,21,7,2595.364,0
SV-20365,102,10,11420.645999999999,3
SV-20785,321,8,3390.105,0
SV-20815,77,4,1271.0900000000001,2
SV-20935,3,8,1903.491,0
SW-20245,82,6,925.198,2
SW-20275,31,6,1966.65,2
SW-20350,163,3,1019.044,2
SW-20455,163,6,2835.564,2
SW-20755,535,2,758.6959999999999,1
SZ-20035,36,11,3592.433,0
TA-21385,70,4,14595.62,3
TB-21055,120,4,1451.361,2
TB-21175,59,4,3579.024,2
TB-21190,50,4,816.1740000000001,2
TB-21250,350,7,1569.592,2
TB-21280,584,6,2198.45,1
TB-21355,147,5,822.136,2
TB-21400,203,6,8987.494,3
TB-21520,108,9,4730.628,0
TB-21595,286,4,1240.871,2
TB-21625,31,9,2797.668,0
TC-20980,400,5,19017.847999999998,3
TC-21145,107,1,1038.26,2
TC-21295,28,8,4261.852,0
TC-21475,154,8,1103.016,0
TC-21535,5,6,692.518,2
TD-20995,38,9,1434.5480000000002,0
TG-21310,338,5,3058.372,2
TG-21640,115,4,2074.661,2
TH-21100,345,5,2422.824,2
TH-21115,59,4,2942.772,2
TH-21235,118,8,1022.201,0
TH-21550,73,7,4229.5560000000005,0
TM-21010,104,7,2817.786,0
TM-21490,131,3,1094.6779999999999,2
TN-21040,91,7,3130.221,0
TP-21130,9,9,4454.0560000000005,0
TP-21415,105,5,5329.0048,2
TP-21565,351,4,1936.6399999999999,1
TR-21325,194,5,645.0719999999999,2
TS-21085,358,2,4.833,1
TS-21160,505,6,1568.2440000000001,1
TS-21205,199,7,5371.09,0
TS-21340,227,5,971.7339999999999,2
TS-21370,37,6,11885.871,3
TS-21430,173,5,2054.14,2
TS-21505,12,6,2243.274,2
TS-21610,56,7,2801.884,0
TS-21655,239,5,3368.094,2
TT-21070,32,7,4915.602,0
TT-21220,184,8,1427.0439999999999,0
TT-21265,407,3,439.5,1
TT-21460,13,7,5364.808,0
TW-21025,65,7,5164.626,0
TZ-21580,36,4,1707.286,2
VB-21745,55,6,2005.596,2
VD-21670,582,6,6283.354,1
VF-21715,176,4,819.784,2
VG-21790,155,5,694.29,2
VG-21805,492,4,418.432,1
VM-21685,55,6,1160.116,2
VM-21835,118,5,380.69,2
VP-21730,31,3,993.9019999999999,2
VP-21760,76,6,3193.6059999999998,2
VS-21820,222,4,1055.981,2
VT-21700,1000,2,1736.596,1
VW-21775,29,9,6112.702,0
WB-21850,21,10,6010.81,0
XP-21865,44,10,2320.408,0
YC-21895,5,5,5454.35,2
YS-21880,10,8,6654.504,3
ZC-21910,55,12,8021.135,3
ZD-21925,203,5,1493.944,2
